taxa,scenario,variable,value,total,prop,percent
bass,ssp245,unsuitable,63564,373763,0.17006498770611322,17.006498770611323
bass,ssp245,same,75334,373763,0.20155553117884864,20.155553117884864
bass,ssp245,worse,163651,373763,0.4378469778977587,43.784697789775876
bass,ssp245,better,71214,373763,0.1905325032172794,19.05325032172794
bass,ssp585,unsuitable,61677,373763,0.16501633388002557,16.501633388002556
bass,ssp585,same,64468,373763,0.17248363267632164,17.248363267632165
bass,ssp585,worse,176107,373763,0.4711729090359399,47.11729090359399
bass,ssp585,better,71511,373763,0.1913271244077129,19.13271244077129
catfish,ssp245,unsuitable,63564,373763,0.17006498770611322,17.006498770611323
catfish,ssp245,same,75334,373763,0.20155553117884864,20.155553117884864
catfish,ssp245,worse,163651,373763,0.4378469778977587,43.784697789775876
catfish,ssp245,better,71214,373763,0.1905325032172794,19.05325032172794
catfish,ssp585,unsuitable,61677,373763,0.16501633388002557,16.501633388002556
catfish,ssp585,same,64468,373763,0.17248363267632164,17.248363267632165
catfish,ssp585,worse,176107,373763,0.4711729090359399,47.11729090359399
catfish,ssp585,better,71511,373763,0.1913271244077129,19.13271244077129
carp,ssp245,unsuitable,64407,373763,0.17232042765067704,17.232042765067703
carp,ssp245,same,77124,373763,0.20634466225923914,20.634466225923916
carp,ssp245,worse,164894,373763,0.4411726147317953,44.11726147317953
carp,ssp245,better,67338,373763,0.18016229535828854,18.016229535828852
carp,ssp585,unsuitable,60656,373763,0.16228465631964642,16.228465631964642
carp,ssp585,same,66604,373763,0.17819848406610606,17.819848406610607
carp,ssp585,worse,176883,373763,0.473249091001517,47.3249091001517
carp,ssp585,better,69620,373763,0.18626776861273053,18.626776861273054
tilapia,ssp245,unsuitable,146132,373763,0.3909750296310764,39.09750296310764
tilapia,ssp245,same,13895,373763,0.03717596444805933,3.7175964448059333
tilapia,ssp245,worse,116444,373763,0.3115450164944096,31.15450164944096
tilapia,ssp245,better,97292,373763,0.2603039894264547,26.030398942645473
tilapia,ssp585,unsuitable,126727,373763,0.33905710303053005,33.905710303053006
tilapia,ssp585,same,9720,373763,0.0260057844141876,2.6005784414187603
tilapia,ssp585,worse,122898,373763,0.32881264330605225,32.88126433060523
tilapia,ssp585,better,114418,373763,0.30612446924923015,30.612446924923013
perch,ssp245,unsuitable,314647,373763,0.8418356017048236,84.18356017048237
perch,ssp245,same,6669,373763,0.01784285763973427,1.7842857639734269
perch,ssp245,worse,37428,373763,0.10013832294796435,10.013832294796435
perch,ssp245,better,15019,373763,0.040183217707477736,4.018321770747773
perch,ssp585,unsuitable,313719,373763,0.8393527449212469,83.93527449212469
perch,ssp585,same,6246,373763,0.016711124429116847,1.6711124429116846
perch,ssp585,worse,38546,373763,0.10312952325404066,10.312952325404066
perch,ssp585,better,15252,373763,0.04080660739559561,4.08066073955956
trout,ssp245,unsuitable,275099,373763,0.7360252352426537,73.60252352426538
trout,ssp245,same,11119,373763,0.029748798035118512,2.9748798035118513
trout,ssp245,worse,42181,373763,0.11285493748712419,11.285493748712419
trout,ssp245,better,45364,373763,0.12137102923510353,12.137102923510353
trout,ssp585,unsuitable,268081,373763,0.7172486308168545,71.72486308168546
trout,ssp585,same,10590,373763,0.028333462648790813,2.8333462648790815
trout,ssp585,worse,46169,373763,0.12352480047516742,12.352480047516742
trout,ssp585,better,48923,373763,0.13089310605918725,13.089310605918724
sturgeon,ssp245,unsuitable,358229,373763,0.9584389037973261,95.84389037973261
sturgeon,ssp245,same,2751,373763,0.007360279107348775,0.7360279107348775
sturgeon,ssp245,worse,6625,373763,0.01772513598189227,1.7725135981892268
sturgeon,ssp245,better,6158,373763,0.016475681113432845,1.6475681113432845
sturgeon,ssp585,unsuitable,357693,373763,0.9570048399654326,95.70048399654326
sturgeon,ssp585,same,2634,373763,0.0070472465171779975,0.7047246517177997
sturgeon,ssp585,worse,7145,373763,0.01911639193820683,1.9116391938206831
sturgeon,ssp585,better,6291,373763,0.01683152157918253,1.6831521579182531
