taxa,scenario,variable,value,total,prop
bass,ssp245,same,18997,58875,0.32266666666666666
bass,ssp245,worse,35374,58875,0.6008322717622081
bass,ssp245,better,4504,58875,0.07650106157112527
bass,ssp585,same,17023,58875,0.2891380042462845
bass,ssp585,worse,37486,58875,0.6367048832271762
bass,ssp585,better,4366,58875,0.07415711252653928
catfish,ssp245,same,29677,101109,0.29351491954227615
catfish,ssp245,worse,60378,101109,0.597157523069163
catfish,ssp245,better,11054,101109,0.10932755738856086
catfish,ssp585,same,27092,101109,0.267948451670969
catfish,ssp585,worse,63260,101109,0.6256614149086629
catfish,ssp585,better,10757,101109,0.10639013342036811
carp,ssp245,same,3465,28398,0.12201563490386647
carp,ssp245,worse,24883,28398,0.8762236777237834
carp,ssp245,better,50,28398,0.0017606873723501656
carp,ssp585,same,2400,28398,0.08451299387280795
carp,ssp585,worse,25962,28398,0.9142193112190999
carp,ssp585,better,36,28398,0.001267694908092119
tilapia,ssp245,same,3633,52781,0.06883158712415452
tilapia,ssp245,worse,39839,52781,0.7547981281142836
tilapia,ssp245,better,9309,52781,0.1763702847615619
tilapia,ssp585,same,2435,52781,0.04613402550160096
tilapia,ssp585,worse,41669,52781,0.7894696955343778
tilapia,ssp585,better,8677,52781,0.16439627896402115
perch,ssp245,same,2,1111,0.0018001800180018
perch,ssp245,worse,1045,1111,0.9405940594059405
perch,ssp245,better,64,1111,0.0576057605760576
perch,ssp585,same,3,1111,0.0027002700270027003
perch,ssp585,worse,1054,1111,0.9486948694869487
perch,ssp585,better,54,1111,0.048604860486048604
trout,ssp245,same,5541,21594,0.256599055293137
trout,ssp245,worse,11108,21594,0.5144021487450218
trout,ssp245,better,4945,21594,0.22899879596184125
trout,ssp585,same,5100,21594,0.2361767157543762
trout,ssp585,worse,12778,21594,0.591738445864592
trout,ssp585,better,3716,21594,0.17208483838103178
sturgeon,ssp245,same,376,4287,0.08770702122696525
sturgeon,ssp245,worse,2576,4287,0.6008864007464427
sturgeon,ssp245,better,1335,4287,0.311406578026592
sturgeon,ssp585,same,325,4287,0.07581059015628645
sturgeon,ssp585,worse,2842,4287,0.6629344529974341
sturgeon,ssp585,better,1120,4287,0.2612549568462795
